,P,AL,C,NI,WH,L,PP,PF,SF,TA,ZN,RB,AU,RM,OI,CS,WR,SP,CU,LR,CF,RR,FB,I,A,SS,RU,JD,M,JM,BC,J,LH,Y,MA,CJ,PG,FU,HC,BU,EG,FG,RS,SM,ZC,AP,SR,V,SA,SN,UR,BB,NR,B,LU,PK,AG,PB,EB,JR,SI,RI,CY,SC
2010-03-05,6930.842447531776,16811.41901715615,1845.1494493969585,,,11616.76923076923,,,,8349.923818265259,18455.473712474624,4560.0,251.84169750413352,,,,4250.0,,59819.69275234834,,16890.519619865114,,,,3772.0,,24067.540322580644,,2818.586387434555,,,,,7657.918088737201,,,,4594.0,,,,,,,,,5361.0,7575.216165413533,,,,,,3975.49436795995,,,,,,,,,,
2010-03-08,6969.123263375702,16979.237057844144,1853.1284740429994,,,11616.76923076923,,,,8488.828361633778,19065.40941086131,4626.0,252.74091803794977,,,,4297.0,,60768.10243383584,,16957.771305947274,,,,3792.0,,24747.983870967742,,2831.7905759162304,,,,,7693.861380939879,,,,4615.0,,,,,,,,,5386.0,7658.245614035088,,,,,,3975.49436795995,,,,,,,,,,
2010-03-09,7007.4040792196265,16841.033965512856,1851.1337178814892,,,11684.196581196582,,,,8504.479577787975,18942.43850392851,4637.912446351931,249.47375009841744,,,,4343.0,,60278.92270338439,,17144.00674432863,,,,3794.0,,24516.129032258064,,2832.8062827225135,,,,,7733.798372276188,,,,4606.0,,,,,,,,,5383.0,7643.5933583959895,,,,,,3975.49436795995,,,,,,,,,,
2010-03-10,6973.15282293822,16979.237057844144,1852.1310959622442,,,11727.542735042734,,,,8463.395135383204,19217.893335457982,4641.883261802575,249.96332572238407,,,,4340.0,,60648.303316174264,,17039.85117480051,,,,3784.0,,24586.6935483871,,2817.5706806282724,,,,,7725.810974008927,,,,4609.0,,,,,,,,,5279.0,7628.941102756892,,,,,,3975.49436795995,,,,,,,,,,
2010-03-11,6892.56163168785,16831.162316060618,1855.1232302045096,,,11604.354260935143,,,,8357.74942634236,18726.009707726782,4644.861373390558,246.56627037241162,,,,4350.0,,59300.5632424815,,16909.65671289036,,,,3790.0,,24128.024193548386,,2811.476439790576,,,,,7669.899186138094,,,,4594.0,,,,,,,,,5082.0,7545.911654135338,,,,,,3975.49436795995,,,,,,,,,,
2010-03-12,6820.0295595625175,16826.226491334502,1860.1101206082851,,,11574.78902714932,,,,8392.964662689306,18893.25014115539,4652.803004291845,247.2856467994646,,,,4351.0,,59620.02755624571,,16951.318940701607,,,,3761.0,,23795.362903225807,,2778.973821989529,,,,,7598.012601732738,,,,4609.0,,,,,,,,,5100.0,7584.984335839598,,,,,,3963.2620775969963,,,,,,,,,,
2010-03-15,6767.645285249778,16613.98602811145,1877.065547981122,,,11382.615007541477,,,,8183.629646626893,18342.34047809645,4660.744635193133,245.67704117786,,,,4349.0,,58442.002899240186,,17024.22783937129,,,,3751.0,,22948.58870967742,,2785.0680628272253,,,,,7576.047256497768,,,,4580.0,,,,,,,,,4979.0,7492.18671679198,,,,,,3963.2620775969963,,,,,,,,,,
2010-03-16,6767.645285249778,16638.665151742036,1880.0576822233875,,,11313.629462041226,,,,8185.586048646168,18499.74323897043,4774.905579399142,246.57626171167624,,,,4468.0,,58781.433732614656,,17039.85117480051,,,,3798.0,,23286.290322580644,,2822.649214659686,,,,,7594.018902599108,,,,4570.0,,,,,,,,,5020.0,7521.491228070176,,,,,,3853.171464330413,,,,,,,,,,
2010-03-17,6807.940880874962,16752.18912044274,1883.0498164656528,,,11476.238247863248,,,,8322.534189995411,18858.818287214206,4755.051502145923,250.00329107944256,,,,4450.0,,60189.07336513821,,17008.604503942075,,,,3793.0,,23765.120967741936,,2831.7905759162304,,,,,7619.977946967708,,,,4646.0,,,,,,,,,5057.0,7668.013784461153,,,,,,3910.7417850294523,,,,,,,,,,
2010-03-18,6763.615725687259,16604.114378659215,1877.065547981122,,,11057.397435897436,,,,8283.406149609913,18553.85043802086,4727.599658422194,248.50459018974882,,,,4450.0,,59600.061036635445,,16940.903383748795,,,,3785.0,,23578.629032258064,,2824.6806282722514,,,,,7562.06930953006,,,,4643.067536292868,,,,,,,,,5134.0,7609.4047619047615,,,,,,4009.722336406747,,,,,,,,,,
